Processed Complaints
bought xxxx xxxx xxxx xxxx milies ont xxxx xxxx car currently xxxx mile listed xxxx xxxx xxxx xxxx yet paying month year total around xxxx said done car terrible condition purchased transmission failed within year rebuilt numerous problem since transmission fix xxxx claim car fine late payment entire twoyear process paid xxxx car still owe another xxxx fresh xxxx year age purchased car feel like xxxx xxxx really took advantage ignorance feel way unfair tried get car refinance lender say lost cause smd csnt help someone please help
happeneddescribe happened understand issue saturday xxxx xxxx xxxx major complaint previous complaint addressed harassing phone call stated phone call awaken xxxx hawaii standard time phone call representative message representative xxxx xxxx call xxxx xxxx please answer following question include unresponsive answer previous complaint harassing phone call simply answer yes going done stop harassing phone call violation civil penalty occurs keep changing enterprise representative please respond name representative contact email phone call resolving issue complaint previously ask email address representative xxxx xxxx resolve issue complaint noncompliant please email email address please explain get email address resolve issue complaint ask mailing address mail xxxx form receive signing incentive partial claim please respond mailing address include attention department money incentive resign modification document yes much responded required resign loan modification document also stated modification term still remain effect stated resigning loan modification may cause difficulty future attempt modify refinance sell property please specific general term stated difficulty going encounter attempt modify refinance sell property please explain fully mentioned previously recordation modification question still answered modification recorded name agency recordation done exactly recorded recordation phone number call check recordation address answer question concern finally resolve issue finally resolve issue simply answer question concernsthank youxxxx xxxx publish description happened consent provided
xxxx stolen used computer acked finally year later taken lot still error xxxx year old car shop repair xxxx need going grocery appointment plus xxxx xxxx must see xxxx xxxx xxxx time year modest please help thank xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx tel xxxx
requested credit report xxxx agency first time tried online experienced computer error time called followed pronts got xxxx xxxx asked transunion said alreadyeady sent report report transunion advised still sent free annual credit report
chexsystems quote rule thier purpose obligation perform chexxxxx operates presumption dont contract deceptive miscreant chexsystems commits degree felony using personal information without consent also recently went xxxx xxxx xxxx refused open checking account chexsystems thier secret making false report tangible evidence anything xxxx sick tired xxxx criminal send paper asking personal information none thier xxxx bisness making bad report year getting away massive felony fraud send thier report using keep secret call xxxx xxxx xxxx xxxx xxxx xxxx xxxx ask birthday dont contract xxxx miscreant
xxxx indiana client getting loan usaa bank veteran loan dragging close day need extend rate lock want charge client rolled loan must come pocket expedient process protect client
two week late closing short sale mortgage company approve allowable charge term loan claiming hud wont approve attorney gotten written documentation hud approval charge roundpoint retaliating sending complaint chain poor practice work process held short sale month delay constant retaliation law
first data global leasingcorporation nothing deceive xxxx meeting company representative xxxx xxxx promising non existent manual processing machine xxxx trade show promotion initial fee taken business account day later automatic signup xxxx coverage specifically quite clearly declined binding contract never signed repeated phone call never returned fdgl representative xxxx xxxx address issue went xxxx point vender contact call phone answered immediately placed branch manager possibly legal never batched single transaction never used connected terminal processed single card terminal finally made contact fdgl agent informed xxxx xxxx longer worked company contract legal binding agreed year lease processing agent extended terminal lease year contract processing want early cancellation terminal lease plus money xxxx clearly stated want need insurance legal help please sign class action action taken record contract bank withdraws contact info etc forward requested
originally asked remove charge wording credit report say understand submitted chargeoff credit report paid charged xxxx xxxx xxxx originally charged xxxx xxxx xxxx understand submitted preventing able get refinance mortgage
tried close checking acct santander xxxx unfortunately ach transaction went thru week later acct realize still active santander paid request charged fee called main xxxx told nothing could fact even though acct closed item presented fee valid deposited money transaction acct spoke bank mgr fee agreed waive asked could fully close acct make sure payment made told possible watch acct usually month activity acct convert closed acct well month later unfortunately xxxx check inadvertently written old checkbook account check still presented payment santander paid charged fee deposited money cover check asked manager waive fee said anything wrong fee valid realize check written presented fathom time request close acct still paying item presented thereby able charge fee acct closed requested multiple time santander denied payment especially month would understand would responsible party make good check returned check fee charged make sense instead close acct continue pay item presented way knowing acct actually ever closed understand put check flag data field close acct resent pay fee make simple thing happen recourse resigned paying fee forever
recollection collectiondiversified adjustment never signed contract company written directly received response someone either data breach theft purse use information obtain kind weird thing tired trying call tell owe debt care help
main complaint today portfolio recovery associate updated information credit reporting agency pra updated anything past two year unable pra update credit agency tried calling several phone call refused send update three major reporting agency shocked would update anything requesting make update send credit reporting agency
received several call man named xxxx xxxx looking husband refuse provide detail name xxxx number saying ous personal matter due rude coupled lack information asked correspond via mail stop calling call stopped never received anything mail several week pas xxxx xxxx called house morning explained husband unavailable asked could help asked husband call provided name xxxx number asked company refused tell saying personal matter told need tell company represent husband call back said real immature grow said excuse said heard grow responded lose number xxxx xxxx hung xxxx xxxx number gave find company worked turned national bond collection associate called number listed website asked receptionist speak supervisor asked xxxx xxxx employee explained supervisor asked speak bos upset insulting bullying tactic xxxx xxxx utilizing receptionist give name chided saying look talking immature need grow told lose number proceeded call local police department answering dispatcher told needed local department needless say police dead end contacted ftc directed site file formal complaint familiar collecting procedure company xxxx xxxx associate resort illegal bullying tactic evasive answering intimidating action might scare people paying debt might even xxxx xxxx refusal provide supporting document unwillingness provide company identification make think skirting line fraud least bully need stopped
collection account recorded credit report mine opened someone using name reported spoken phone representative verify never account xxxx confirm whether removed credit report try check status online get message allowed view dispute status online without explanation never done business xxxx lived address original debt occurred disputed xxxx dispute case disappeared disputed xxxx company let check status dispute online responded email regarding fraud credit report transunion investigated removed right away
victim identity theft several inquiry showing credit report authorized inquiry include xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx company listed obtained credit report due fraud contacted company company agreed request removal inquiry credit report xxxxxxxxxxxx inquiry still showing xxxx credit report attached pdf letter received creditor showing requested removal inquires also attached copy photo verification purpose
credit report showing hard inquiry xxxx xxxx authorize dont service xxxx
started business mmi xxxxxxxx debt management program told creditor agreed stop reporting late payment credit bureau false creditor still reporting late called requested refund monthly service fee due inaccuracy promise refused
purchase made online product item delivered instead product item sent instead modified invoice without permission consultation vendor ignored email request return shipping label claiming accept return refund dispute made citibank via secured chat full detail including product model number given day later citibank reversed temporary credit vendor claimed delivered product followup citibank prior claim certified received product ordered instead met citibank letter detailing needed obtain written permission vendor order obtain credit refund despite stating evidence chat email phone call made citibank made attempt obtain verify phone call made dispute department xxxx answered appalled discover mean contact case person charge call recorded information call even reach dispute department department registered dispute wrongly nondelivered product decided listen onesided story vendor instead verifying consulting person letter sent via method possibly think read honestly reach department notified phone rep xxxx letter detailed email correspondence xxxx dispute process chatlog photo product delivered stead including packaging invoice showing delivered versus ordered case later closed citibank exact remark since detailed description merchandise service excepted receive unable assist obtaining fund merchant citibank presented dispute department incapable performing due dilligences dispute case unable communicate even within department extremely unwilling allow customer call fails
name xxxx xxxx extremely frustrated able process dispute transunion received via certified mail return receipt requested simply received heavily worded letter denying investigation claiming verification provided sufficient afraid stalling deliberately ignoring request investigation expunged civil claim provived vey sufficient actually excessive amount verification claim therefore process anything forfeit proof documentation first would like clarify aleady provided driver license state social security number copy certified letter costing signed letter address residence violating pushing around requested personal information documentation overly suspspcious safe send via mail case identifty theft ban fraud committed weary sending anything beyond expected think documentation extremely sufficient actuality company avoiding hurting accusing using tactic lot consumer fair else would dare deny everything supplied behalf sneaky productive clearly choosing ignore issue sent letter via certified mail received transunion delete invalid public record item credit report purseu litigation small claim court ahv xxxx consulted attorney mishandling dispute refusal acknowledge perfectly sufficient perfectly legible verification document wonder done information shredded kept archive claim provided enough proof certain mishandled letter document produce item court law obvious lying
rebuttal previous complaint request collector removed like said last message even read wrote already want know remove item credit report file dispute tried removing rejected dispute
transunion inviolation fcra fdcpa statesthat credyor must enter notice dispute entered account report credit report still report knowing dispute also failure report account sold address information still listing xxxx last payment date name account sold balance still showing listing dispute ref xxxx cfpb need another day investigation document fact along cfpb showing evidence account mine ever made two violation listed self warrant removal account immediately cfpb enforce violation remove
paid company xxxx xxxx xxxx debit card service never provided well fargo allowed keep fund stating cancel service outlined term condition signed youit turn company scam criminal enterprise owner criminally charged others xxxx
charged bed account bed put defective bed bottom longer intact would require building new platform bed second defective item purchased company called furniture customer service several time hold many time finally told bed would picked arranges truck pick bed paid bed put together company never picked bed still defective bed mattress cant layed poor craftmenship bed also tried dispute charge made drug store xxxx wasnt resolved either costing extra interest money take company small claim recoup fund
pulled copy credit report noticed collection reporting xxxx xxxx dispute account credit reporting agency account mine never xxxx service entire life know reported false information three bureau remove account thought said done received another credit report convergent outsourcing reporting exact account new open date absolutely maddening would use social security number birth date would see mine going name common upset pay bill time error affecting ability make financial move
